login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
iam-veeramalla,iam-veeramalla/observability-zero-to-hero,2023-03-16T14:41:25Z,1496,1496,Go,true,true,
iam-veeramalla,iam-veeramalla/community-operators-prod,2023-08-16T17:04:56Z,106,106,Dockerfile,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/community-operators,2023-08-11T18:48:35Z,101,101,Dockerfile,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/MERN-docker-compose,2024-08-31T17:17:07Z,82,82,JavaScript,true,true,
iam-veeramalla,iam-veeramalla/argocd-operator,2023-07-03T09:46:13Z,238,238,,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/Jenkins-Zero-To-Hero,2023-02-01T04:33:00Z,6493,6493,Python,true,true,mit
iam-veeramalla,iam-veeramalla/python-for-devops,2023-10-12T11:39:21Z,2763,2763,Python,true,true,mit
iam-veeramalla,iam-veeramalla/aws-devops-zero-to-hero,2023-06-19T06:13:08Z,6819,6819,Python,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/shell-scripting-projects,2023-04-14T12:33:44Z,871,871,Shell,true,true,
iam-veeramalla,iam-veeramalla/ansible-zero-to-hero,2024-05-15T12:27:58Z,608,608,HTML,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/go-web-app,2024-07-06T18:04:42Z,142,142,HTML,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/GitHub-Actions-Zero-to-Hero,2023-02-02T11:37:22Z,1201,1201,Python,true,true,
iam-veeramalla,iam-veeramalla/Docker-Zero-to-Hero,2023-02-07T13:42:10Z,3846,3846,,true,true,
iam-veeramalla,iam-veeramalla/Kubernetes-Zero-to-Hero,2023-02-22T13:00:20Z,1558,1558,,true,true,
iam-veeramalla,iam-veeramalla/terraform-eks,2024-03-25T15:20:52Z,295,295,HCL,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/three-tier-architecture-demo,2023-12-29T17:39:21Z,526,526,JavaScript,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/terraform-zero-to-hero,2023-08-31T14:39:52Z,2390,2390,HCL,true,true,
iam-veeramalla,iam-veeramalla/gitops-operator,2023-07-12T11:56:21Z,228,228,Go,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/go-web-app-devops,2024-07-19T06:09:18Z,184,184,HTML,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/kubernetes-troubleshooting-zero-to-hero,2024-03-19T19:10:37Z,452,452,Dockerfile,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/devops-interview-preparation-guide,2023-07-31T12:15:31Z,676,676,,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/cicd-end-to-end,2022-10-14T09:26:34Z,498,498,Python,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/sandbox,2021-08-23T16:29:34Z,155,155,,true,true,
iam-veeramalla,iam-veeramalla/write_your_first_terraform_project,2023-01-29T10:38:58Z,488,488,HCL,true,true,
iam-veeramalla,iam-veeramalla/Azure-zero-to-hero,2023-12-27T10:01:11Z,2713,2713,HCL,true,false,mit
iam-veeramalla,iam-veeramalla/CKA-2024,2024-06-28T17:47:59Z,36,36,Dockerfile,true,true,
iam-veeramalla,iam-veeramalla/dummy-role,2024-06-06T13:15:41Z,32,32,HTML,true,true,
iam-veeramalla,iam-veeramalla/istio-guide,2024-04-24T06:41:50Z,143,143,,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/argocd-hub-spoke-demo,2024-01-10T04:09:22Z,159,159,,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/argo-cd,2020-11-27T11:24:01Z,199,199,,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/argoproj,2023-05-10T06:56:14Z,116,116,Python,true,true,
iam-veeramalla,iam-veeramalla/devtron,2023-05-26T18:36:24Z,92,92,,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/design_diagrams,2022-03-03T14:05:37Z,118,118,,true,true,
iam-veeramalla,iam-veeramalla/argo-rollouts-manager,2023-05-15T02:23:07Z,89,89,,true,true,apache-2.0
iam-veeramalla,iam-veeramalla/devops-project-ideas,2023-04-22T13:51:19Z,285,285,,true,true,mit
iam-veeramalla,iam-veeramalla/Golang-Zero-to-Hero,2023-02-27T11:55:47Z,240,240,,true,true,
iam-veeramalla,iam-veeramalla/k8s-crossplane-argocd,2022-07-25T19:21:27Z,127,127,,true,true,
iam-veeramalla,iam-veeramalla/k8s-kyverno-argocd,2023-02-19T05:45:11Z,202,202,,true,true,
iam-veeramalla,iam-veeramalla/cis-istio-integration,2020-05-25T17:58:57Z,79,79,Makefile,true,true,
iam-veeramalla,iam-veeramalla/argo-rollouts,2022-09-30T11:46:15Z,65,65,,true,false,apache-2.0
iam-veeramalla,iam-veeramalla/cicd-demo-golang,2022-01-03T16:47:45Z,83,83,Go,true,true,
iam-veeramalla,iam-veeramalla/argo-perf-test,2022-05-25T11:51:37Z,60,60,,true,true,
iam-veeramalla,iam-veeramalla/gitops-node-headers,2021-12-23T15:37:34Z,52,52,,true,true,
iam-veeramalla,iam-veeramalla/officeassistant,2020-07-25T07:35:13Z,42,42,JavaScript,true,true,
iam-veeramalla,iam-veeramalla/IPLPrediction,2020-07-22T17:28:40Z,38,38,,true,true,
in28minutes,in28minutes/spring-boot-master-class,2017-08-02T09:02:25Z,995,995,Java,true,true,
in28minutes,in28minutes/master-spring-and-spring-boot,2022-10-27T08:18:07Z,1359,1359,Java,true,true,
in28minutes,in28minutes/functional-programming-with-java,2019-10-11T20:24:48Z,354,354,Java,true,true,
in28minutes,in28minutes/in28minutes.com,2017-11-19T06:55:45Z,25,25,HTML,true,true,mit
in28minutes,in28minutes/course-material,2021-01-14T13:57:40Z,988,988,,true,true,
in28minutes,in28minutes/spring-microservices-v3,2023-02-21T06:52:45Z,303,303,JavaScript,true,true,
in28minutes,in28minutes/devops-master-class,2020-01-20T03:46:30Z,2300,2300,Java,true,true,
in28minutes,in28minutes/in28minutes,2022-03-02T02:31:20Z,10,10,,true,true,
in28minutes,in28minutes/camel,2021-01-18T11:47:36Z,83,83,JavaScript,true,true,
in28minutes,in28minutes/spring-boot-examples,2017-11-27T04:31:20Z,1245,1245,Java,true,true,
in28minutes,in28minutes/spring-complete-career-path,2017-10-24T13:02:56Z,45,45,Java,true,true,
in28minutes,in28minutes/jpa-with-hibernate,2017-08-21T05:17:23Z,656,656,Java,true,true,
in28minutes,in28minutes/MockitoTutorialForBeginners,2016-08-07T14:13:23Z,637,637,Java,true,true,mit
in28minutes,in28minutes/in28minutes.github.io,2017-01-18T03:06:09Z,172,172,HTML,true,true,mit
in28minutes,in28minutes/spring-boot-to-cloud,2020-03-01T13:51:40Z,31,31,Java,true,true,
in28minutes,in28minutes/kubernetes-crash-course,2019-11-10T15:01:09Z,330,330,Java,true,true,mit
in28minutes,in28minutes/SpringBootForBeginners,2017-01-02T08:57:38Z,630,630,Java,true,true,
in28minutes,in28minutes/JavaWebApplicationStepByStep,2015-12-22T08:01:10Z,541,541,Java,true,true,apache-2.0
in28minutes,in28minutes/SpringBootWebApplicationStepByStep,2017-01-05T06:38:29Z,266,266,Java,true,true,
in28minutes,in28minutes/spring-interview-guide,2017-08-01T10:13:10Z,717,717,JavaScript,true,true,mit
in28minutes,in28minutes/azure-devops-kubernetes-terraform-pipeline,2020-02-05T08:40:53Z,91,91,Java,true,true,
in28minutes,in28minutes/spring-master-class,2017-08-07T06:56:45Z,1156,1156,Java,true,true,
in28minutes,in28minutes/spring-microservices-v2,2021-01-07T08:48:57Z,751,751,JavaScript,true,true,
in28minutes,in28minutes/spring-microservices,2017-09-07T13:24:37Z,1800,1800,Java,true,true,mit
in28minutes,in28minutes/spring-web-services,2017-07-13T12:09:28Z,538,538,Java,true,true,mit
in28minutes,in28minutes/full-stack-with-angular-and-spring-boot,2018-11-08T14:21:38Z,619,619,Java,true,true,mit
in28minutes,in28minutes/roadmaps,2022-03-19T07:12:59Z,252,252,,true,true,
in28minutes,in28minutes/MavenIn28Minutes,2015-09-05T14:10:50Z,193,193,Java,true,true,mit
in28minutes,in28minutes/automation-testing-with-java-and-selenium,2018-08-31T04:16:01Z,196,196,HTML,true,true,
in28minutes,in28minutes/java-tutorial-for-beginners,2019-04-18T09:34:41Z,1396,1396,,true,true,
in28minutes,in28minutes/learning-paths-cloud-and-devops,2022-01-12T12:12:20Z,119,119,,true,true,
in28minutes,in28minutes/java-a-course-for-beginners,2018-01-26T07:08:09Z,1087,1087,JavaScript,true,true,mit
in28minutes,in28minutes/JavaInterviewQuestionsAndAnswers,2016-02-02T06:58:56Z,1055,1055,Java,true,true,
in28minutes,in28minutes/SpringMvcStepByStep,2015-12-23T13:09:44Z,835,835,Java,true,true,mit
in28minutes,in28minutes/java-best-practices,2016-10-02T12:06:26Z,1258,1258,,true,true,
in28minutes,in28minutes/spring-unit-testing-with-junit-and-mockito,2018-03-28T05:24:07Z,361,361,Java,true,true,mit
in28minutes,in28minutes/chartjs-chart-funnel,2023-08-30T05:03:41Z,1,1,,true,false,mit
in28minutes,in28minutes/in28minutes-initiatives,2017-10-27T04:43:03Z,599,599,,true,true,
in28minutes,in28minutes/jenkin-devops-microservice,2020-02-07T15:30:27Z,51,51,Java,true,true,
in28minutes,in28minutes/deploy-spring-boot-aws-eb,2019-07-08T09:38:26Z,161,161,Java,true,true,
in28minutes,in28minutes/cloud.in28minutes.com,2020-06-06T14:34:54Z,20,20,HTML,true,true,mit
in28minutes,in28minutes/JUnitIn28Minutes,2015-09-05T15:25:03Z,217,217,Java,true,true,mit
in28minutes,in28minutes/JavaObjectOrientedProgramming,2015-11-24T03:15:55Z,70,70,Java,true,true,
in28minutes,in28minutes/getting-started-in-5-steps,2017-06-23T08:19:05Z,155,155,JavaScript,true,true,
in28minutes,in28minutes/SpringIn28Minutes,2015-11-15T15:35:37Z,666,666,Java,true,true,mit
in28minutes,in28minutes/spring-boot-angular-fullstack-examples,2019-05-07T05:23:22Z,110,110,TypeScript,true,true,mit
in28minutes,in28minutes/full-stack-with-react-and-spring-boot,2019-03-07T16:11:10Z,610,610,Java,true,true,mit
